'tax_order', 'family', 'phylum', 'species_id', 'species_accepted', 'spand_ex_growth_type_id', 'organism_type', 'species_common', 'tax_class', 'kingdom', 'genus'
'Pinales', 'Pinaceae', 'Pinophyta', '1', 'Abies concolor', 'Tree', Tree, 'None', 'Pinopsida', 'Plantae', 'Abies'
'Pinales', 'Pinaceae', 'Pinophyta', '2', 'Abies homolepis', 'None', 'None', 'Pinopsida', 'Plantae', 'Abies'
'Pinales', 'Pinaceae', 'Pinophyta', '3', 'Abies magnifica', 'Tree', 'None', 'Pinopsida', 'Plantae', 'Abies'
'Pinales', 'Pinaceae', 'Pinophyta', '4', 'Abies sachalinensis', 'Tree', 'None', 'Pinopsida', 'Plantae', 'Abies'
'Malvales', 'Malvaceae', 'Magnoliophyta', '5', 'Abutilon theophrasti', 'None', 'Velvetleaf', 'Magnoliopsida', 'Plantae', 'Abutilon'
'Fabales', 'Leguminosae', 'Magnoliophyta', '6', 'Acacia aneura', 'Shrub', 'Mulga', 'Magnoliopsida', 'Plantae', 'Acacia'
'Fabales', 'Leguminosae', 'Magnoliophyta', '7', 'Acacia bilimekii', 'Shrub', 'None', 'Magnoliopsida', 'Plantae', 'Acacia'
'Fabales', 'Leguminosae', 'Magnoliophyta', '8', 'Acacia pennatula', 'Shrub', 'None', 'Magnoliopsida', 'Plantae', 'Acacia'
'Fabales', 'Leguminosae', 'Magnoliophyta', '9', 'Acacia suaveolens', 'Shrub', 'Danny Buss', 'Magnoliopsida', 'Plantae', 'Acacia'
'Fabales', 'Leguminosae', 'Magnoliophyta', '10', 'Acacia victoriae', 'Shrub', 'None', 'Magnoliopsida', 'Plantae', 'Acacia'
'Sapindales', 'Sapindaceae', 'Magnoliophyta', '11', 'Acer palmatum', 'Tree', 'None', 'Magnoliopsida', 'Plantae', 'Acer'
'Sapindales', 'Sapindaceae', 'Magnoliophyta', '12', 'Acer pictum', 'Tree', 'None', 'Magnoliopsida', 'Plantae', 'Acer'
'Sapindales', 'Sapindaceae', 'Magnoliophyta', '13', 'Acer rufinerve', 'Tree', 'None', 'Magnoliopsida', 'Plantae', 'Acer'
'Sapindales', 'Sapindaceae', 'Magnoliophyta', '14', 'Acer saccharum', 'Tree', 'Sugar maple', 'Magnoliopsida', 'Plantae', 'Acer'
'Asterales', 'Compositae', 'Magnoliophyta', '15', 'Achillea millefolium', 'None', 'None', 'Magnoliopsida', 'Plantae', 'Achillea'
'Poales', 'Poaceae', 'Magnoliophyta', '16', 'Stipa calamagrostis', 'None', 'None', 'Liliopsida', 'Plantae', 'Stipa'
'Ranunculales', 'Ranunculaceae', 'Magnoliophyta', '17', 'Aconitum noveboracense', 'None', 'Northern monkshood', 'Magnoliopsida', 'Plantae', 'Aconitum'
'Ranunculales', 'Ranunculaceae', 'Magnoliophyta', '18', 'Actaea elata', 'None', 'None', 'Magnoliopsida', 'Plantae', 'Actaea'
'Ranunculales', 'Ranunculaceae', 'Magnoliophyta', '19', 'Actaea spicata', 'Shrub', 'None', 'Magnoliopsida', 'Plantae', 'Actaea'
'Malpighiales', 'Euphorbiaceae', 'Magnoliophyta', '20', 'Actinostemon concolor', 'Shrub', 'None', 'Magnoliopsida', 'Plantae', 'Actinostemon'
'Malvales', 'Malvaceae', 'Magnoliophyta', '21', 'Adansonia digitata', 'None', 'Baobab', 'Magnoliopsida', 'Plantae', 'Adansonia'
'Fabales', 'Leguminosae', 'Magnoliophyta', '22', 'Adenocarpus aureus gibbsianus', 'Shrub', 'None', 'Magnoliopsida', 'Plantae', 'Adenocarpus'
'Asterales', 'Campanulaceae', 'Magnoliophyta', '23', 'Adenophora lobophylla', 'None', 'None', 'Magnoliopsida', 'Plantae', 'Adenophora'
'Asterales', 'Campanulaceae', 'Magnoliophyta', '24', 'Adenophora potaninii', 'None', 'None', 'Magnoliopsida', 'Plantae', 'Adenophora'
'Insects', 'The', 'Vertebrate', '25', 'Hairy Caterpillar', 'Closed Perennial', 'The Hairy Beast', 'Hexapoda', 'Animalia', 'Hairy'
